Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2,ConversionUSD
Russia,Male,27,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",1400000,RUB,Scientist/Researcher,Fine,Python,Yes,100% of projects,7,7,0.0172
Taiwan,Male,23,Employed full-time,Internet-based,Bachelor's degree,Electrical Engineering,30000,USD,Machine Learning Engineer,Perfectly,Python,Yes,51-75% of projects,7,7,1
South Africa,Male,50,"Independent contractor, freelancer, or self-employed",Financial,Bachelor's degree,Computer Science,800000,ZAR,Software Developer/Software Engineer,Fine,Python,No,Less than 10% of projects,5,5,0.0753
Spain,Male,42,Employed full-time,Technology,Master's degree,Mathematics or statistics,31000,EUR,Programmer,Fine,Python,No,51-75% of projects,6,6,1.1304
India,Male,22,Employed full-time,Academic,Bachelor's degree,Computer Science,550000,INR,Programmer,Perfectly,Python,Sort of (Explain more),76-99% of projects,7,7,0.0154
Ireland,Male,24,Employed full-time,Academic,Master's degree,Electrical Engineering,26000,EUR,Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,10 - Highly Satisfied,10,1.1304
France,Male,25,Employed full-time,Academic,Master's degree,Biology,54000,CHF,Scientist/Researcher,Fine,Python,Yes,100% of projects,5,5,1.0163
United States,Male,26,Employed full-time,Academic,Bachelor's degree,Physics,52500,USD,Data Analyst,Perfectly,R,Sort of (Explain more),100% of projects,8,8,1
France,Male,55,Employed full-time,Academic,Doctoral degree,Other,38000,EUR,Data Miner,Fine,Python,Yes,10-25% of projects,6,6,1.1304
Taiwan,Male,21,Employed part-time,Mix of fields,Bachelor's degree,Computer Science,180000,TWD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,7,7,0.0329
Netherlands,Male,23,Employed part-time,Academic,Master's degree,Psychology,0,EUR,Researcher,Fine,Python,Yes,76-99% of projects,8,8,1.1304
India,Male,32,Employed full-time,Technology,Bachelor's degree,Computer Science,2100000,INR,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,7,7,0.0154
India,Male,25,Employed full-time,Pharmaceutical,Bachelor's degree,Electrical Engineering,1200000,INR,Data Analyst,Fine,Python,Sort of (Explain more),26-50% of projects,7,7,0.0154
Israel,Male,35,Employed part-time,Academic,Master's degree,Other,75000,USD,Scientist/Researcher,Fine,R,Yes,10-25% of projects,10 - Highly Satisfied,10,1
United Kingdom,Male,26,Employed full-time,Technology,Bachelor's degree,Computer Science,42000,GBP,DBA/Database Engineer,Fine,SQL,No,Less than 10% of projects,10 - Highly Satisfied,10,1.289
India,Male,29,Employed full-time,Internet-based,Bachelor's degree,Engineering (non-computer focused),1900000,INR,Data Analyst,Fine,R,No,26-50% of projects,5,5,0.0154
Italy,Male,53,Employed full-time,Academic,Doctoral degree,Physics,30000,EUR,Machine Learning Engineer,Perfectly,Python,Yes,Less than 10% of projects,8,8,1.1304
Spain,Male,40,Employed full-time,Other,Master's degree,Physics,65000,EUR,Other,Fine,Python,Sort of (Explain more),51-75% of projects,3,3,1.1304
South Africa,Male,28,Employed full-time,Financial,Master's degree,Management information systems,600000,ZAR,Data Analyst,Fine,Python,No,76-99% of projects,5,5,0.0753
Taiwan,Male,24,Employed part-time,Academic,Master's degree,Computer Science,2400,USD,Researcher,Fine,Python,Yes,10-25% of projects,7,7,1
India,Male,24,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,510000,INR,Machine Learning Engineer,Fine,R,Yes,10-25% of projects,8,8,0.0154
United Kingdom,Male,30,Employed full-time,Internet-based,Master's degree,A humanities discipline,70000,GBP,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,3,3,1.289
India,Male,22,Employed full-time,CRM/Marketing,Some college/university study without earning a bachelor's degree,Computer Science,504000,INR,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,8,8,0.0154
Germany,Male,28,Employed full-time,Academic,Master's degree,Management information systems,45000,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),76-99% of projects,7,7,1.1304
Spain,Male,35,Employed full-time,Government,Doctoral degree,Other,40000,EUR,Researcher,Fine,C/C++/C#,Yes,51-75% of projects,7,7,1.1304
Russia,Male,31,Employed full-time,Financial,Master's degree,Mathematics or statistics,1100,USD,Data Analyst,Fine,Python,No,26-50% of projects,4,4,1
United Kingdom,Male,35,Employed full-time,Insurance,Bachelor's degree,Electrical Engineering,50000,GBP,Software Developer/Software Engineer,Fine,SQL,No,51-75% of projects,5,5,1.289
United States,Male,24,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,75000,USD,Software Developer/Software Engineer,Fine,R,Yes,76-99% of projects,6,6,1
Canada,Male,49,Employed full-time,Technology,Master's degree,Computer Science,173000,CAD,Programmer,Fine,Python,No,Less than 10% of projects,9,9,0.7713
Belgium,Male,32,Employed full-time,Academic,Master's degree,Computer Science,8000,EUR,Scientist/Researcher,Poorly,Python,Yes,100% of projects,7,7,1.1304
Russia,Male,22,Employed full-time,Other,Bachelor's degree,Computer Science,30000,RUB,Predictive Modeler,Fine,Python,Sort of (Explain more),100% of projects,9,9,0.0172
India,Male,27,Employed full-time,Internet-based,Bachelor's degree,Computer Science,1150000,INR,Business Analyst,Poorly,Python,No,26-50% of projects,4,4,0.0154
Denmark,Male,38,Employed full-time,Other,Doctoral degree,Management information systems,80000,EUR,Scientist/Researcher,Perfectly,R,No,100% of projects,8,8,1.1304
India,Male,26,Employed full-time,Technology,Bachelor's degree,Computer Science,720000,INR,Software Developer/Software Engineer,Poorly,Python,No,100% of projects,7,7,0.0154
India,Female,28,Employed full-time,Mix of fields,Master's degree,Computer Science,1000000,INR,Researcher,Fine,Python,Yes,76-99% of projects,7,7,0.0154
Singapore,Male,30,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,78300,SGD,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),76-99% of projects,7,7,0.7245
India,Male,22,Employed full-time,Financial,Bachelor's degree,Computer Science,310000,INR,Software Developer/Software Engineer,Fine,R,Yes,26-50% of projects,7,7,0.0154
Other,Male,29,Employed full-time,Academic,Master's degree,Electrical Engineering,42000,EUR,Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,1.1304
Netherlands,Male,34,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",96000,EUR,Software Developer/Software Engineer,Poorly,Python,No,51-75% of projects,7,7,1.1304
India,Male,26,Employed full-time,Technology,Bachelor's degree,Computer Science,1200000,INR,Software Developer/Software Engineer,Poorly,Python,No,51-75% of projects,4,4,0.0154
United States,Male,27,Employed full-time,Other,Bachelor's degree,Computer Science,88500,USD,Software Developer/Software Engineer,Fine,Python,No,Less than 10% of projects,3,3,1
India,Male,28,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,300000,INR,Data Analyst,Fine,Python,Yes,51-75% of projects,1 - Highly Dissatisfied,1,0.0154
India,Male,29,Employed full-time,Internet-based,Bachelor's degree,Engineering (non-computer focused),4000000,INR,Other,Fine,Python,Sort of (Explain more),10-25% of projects,6,6,0.0154
France,Male,30,Employed full-time,Financial,Doctoral degree,Engineering (non-computer focused),68000,EUR,Machine Learning Engineer,Fine,Matlab,Yes,26-50% of projects,9,9,1.1304
Russia,Male,29,Employed full-time,Telecommunications,Master's degree,Computer Science,52000,USD,Other,Fine,R,Yes,100% of projects,8,8,1
South Africa,Female,25,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,472000,ZAR,Researcher,Fine,Python,Yes,76-99% of projects,8,8,0.0753
Republic of China,Male,33,Employed full-time,Internet-based,Master's degree,Computer Science,1000000,CNY,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,6,6,0.148
Italy,Female,27,Employed full-time,Financial,Master's degree,Mathematics or statistics,34000,EUR,Data Analyst,Fine,R,No,76-99% of projects,6,6,1.1304
Ukraine,Male,23,Employed full-time,Retail,Bachelor's degree,Physics,650,EUR,Data Analyst,Fine,R,No,76-99% of projects,6,6,1.1304
Germany,Male,32,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,15000,EUR,Scientist/Researcher,Perfectly,R,Yes,10-25% of projects,10 - Highly Satisfied,10,1.1304
Other,Male,23,Employed part-time,Technology,Some college/university study without earning a bachelor's degree,Computer Science,4800,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,4,4,1.1304
South Africa,Male,31,Employed full-time,Mix of fields,Doctoral degree,Electrical Engineering,550000,ZAR,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,4,4,0.0753
United Kingdom,Male,38,Employed full-time,Academic,Doctoral degree,Biology,53000,GBP,Scientist/Researcher,Poorly,Python,Yes,100% of projects,2,2,1.289
India,Male,26,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,1400000,INR,Machine Learning Engineer,Perfectly,Python,Yes,26-50% of projects,9,9,0.0154
Belgium,Male,35,Employed full-time,Non-profit,Master's degree,Computer Science,48000,EUR,Computer Scientist,Fine,Matlab,No,10-25% of projects,3,3,1.1304
India,Male,27,Employed full-time,Military/Security,Master's degree,Engineering (non-computer focused),800000,INR,Engineer,Fine,Python,No,51-75% of projects,5,5,0.0154
Germany,Male,43,Employed full-time,Financial,Doctoral degree,Computer Science,170000,EUR,Other,Fine,Python,No,51-75% of projects,7,7,1.1304
Greece,Male,45,Employed full-time,Financial,Doctoral degree,Computer Science,91500,EUR,Other,Poorly,Java,Sort of (Explain more),100% of projects,3,3,1.1304
Singapore,Male,33,Employed full-time,Academic,Doctoral degree,Computer Science,80000,SGD,Computer Scientist,Fine,C/C++/C#,Sort of (Explain more),10-25% of projects,7,7,0.7245
Other,Male,33,Employed full-time,Insurance,Doctoral degree,Physics,38000,EUR,Scientist/Researcher,Fine,Python,Yes,26-50% of projects,6,6,1.1304
Other,Female,29,Employed full-time,Academic,Master's degree,Engineering (non-computer focused),34500,EUR,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),76-99% of projects,7,7,1.1304
Switzerland,Male,25,"Independent contractor, freelancer, or self-employed",Academic,Bachelor's degree,Physics,0,CHF,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),76-99% of projects,9,9,1.0163
Italy,Male,26,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),12000,EUR,Engineer,Poorly,Python,Yes,51-75% of projects,7,7,1.1304
Germany,Male,33,Employed full-time,Academic,Doctoral degree,Computer Science,28000,EUR,Researcher,Fine,Python,Yes,51-75% of projects,6,6,1.1304
People 's Republic of China,Male,34,Employed full-time,Mix of fields,Master's degree,Management information systems,190000,CNY,Data Analyst,Fine,Python,Yes,10-25% of projects,7,7,0.148
Egypt,Male,48,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",12000,USD,Engineer,Fine,Scala,No,Less than 10% of projects,4,4,1
United States,Male,36,Employed full-time,Other,Master's degree,Electrical Engineering,122000,USD,Engineer,Fine,R,Sort of (Explain more),51-75% of projects,7,7,1
Pakistan,Male,25,Employed part-time,Mix of fields,Bachelor's degree,Computer Science,50000,PKR,Programmer,Fine,R,Sort of (Explain more),Less than 10% of projects,7,7,0.0095
India,Male,26,Employed full-time,Retail,Master's degree,Mathematics or statistics,700000,INR,Data Analyst,Fine,Python,No,10-25% of projects,7,7,0.0154
Taiwan,Male,27,Employed full-time,Technology,Master's degree,Computer Science,800000,TWD,Programmer,Fine,Python,Yes,10-25% of projects,4,4,0.0329
South Africa,Male,27,Employed full-time,Academic,Bachelor's degree,Computer Science,430000,ZAR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,0.0753
Germany,Male,27,Employed full-time,Academic,Master's degree,Mathematics or statistics,30000,EUR,Statistician,Perfectly,R,Yes,10-25% of projects,8,8,1.1304
Spain,Male,28,Employed full-time,Other,Doctoral degree,Physics,24000,EUR,Data Analyst,Fine,Python,Sort of (Explain more),100% of projects,7,7,1.1304
Australia,Male,53,Employed full-time,Telecommunications,Bachelor's degree,Mathematics or statistics,150000,AUD,Business Analyst,Fine,R,No,None,8,8,0.7669
Japan,Female,21,Employed full-time,Academic,Some college/university study without earning a bachelor's degree,Biology,576000,JPY,Scientist/Researcher,Perfectly,R,Sort of (Explain more),100% of projects,7,7,0.0089
Italy,Male,41,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Computer Science,65000,EUR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,8,8,1.1304
Singapore,Male,26,Employed full-time,Academic,Doctoral degree,Electrical Engineering,70000,SGD,Researcher,Perfectly,Python,No,76-99% of projects,8,8,0.7245
France,Female,48,Employed full-time,Academic,Doctoral degree,Computer Science,48000,EUR,Scientist/Researcher,Perfectly,R,Yes,51-75% of projects,9,9,1.1304
Greece,Male,29,Employed part-time,Academic,Master's degree,Electrical Engineering,4000,EUR,Researcher,Perfectly,Python,Yes,76-99% of projects,7,7,1.1304
India,Male,24,Employed full-time,Technology,Bachelor's degree,Computer Science,365000,INR,Other,Perfectly,SQL,Sort of (Explain more),100% of projects,5,5,0.0154
France,Male,35,Employed full-time,Technology,Doctoral degree,Computer Science,75000,EUR,Other,Fine,Matlab,Yes,26-50% of projects,7,7,1.1304
France,Male,27,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,35000,EUR,Data Miner,Fine,Python,Sort of (Explain more),51-75% of projects,7,7,1.1304
Italy,Male,26,Employed full-time,Financial,Bachelor's degree,"Information technology, networking, or system administration",16000,EUR,Engineer,Fine,Python,No,100% of projects,4,4,1.1304
Belgium,Male,27,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,35000,EUR,Statistician,Poorly,Python,Sort of (Explain more),10-25% of projects,3,3,1.1304
Australia,Male,52,"Independent contractor, freelancer, or self-employed",Telecommunications,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",200000,AUD,Business Analyst,Poorly,R,No,100% of projects,4,4,0.7669
France,Male,26,Employed full-time,Government,Master's degree,Engineering (non-computer focused),42000,EUR,Engineer,Poorly,Python,Sort of (Explain more),100% of projects,4,4,1.1304
Russia,Male,24,Employed full-time,Other,Master's degree,Computer Science,1350000,RUB,Machine Learning Engineer,Fine,Haskell,No,Less than 10% of projects,8,8,0.0172
Belgium,Male,26,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),47000,EUR,Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,4,4,1.1304
France,Female,32,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,34000,EUR,Data Analyst,Poorly,R,Yes,26-50% of projects,5,5,1.1304
Spain,Male,41,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,42000,EUR,Other,Poorly,Python,Sort of (Explain more),10-25% of projects,7,7,1.1304
Switzerland,Male,29,Employed full-time,Academic,Master's degree,Computer Science,85000,CHF,Researcher,Poorly,Python,No,100% of projects,8,8,1.0163
United Kingdom,Female,33,Employed full-time,Government,Doctoral degree,Computer Science,40000,GBP,Other,Poorly,Python,Yes,100% of projects,3,3,1.289
United Kingdom,Female,34,Employed full-time,Academic,Doctoral degree,Computer Science,39.5,GBP,Scientist/Researcher,Fine,R,Sort of (Explain more),10-25% of projects,7,7,1.289
Italy,Male,36,Employed full-time,Academic,Doctoral degree,Computer Science,20000,EUR,Computer Scientist,Fine,Python,Yes,51-75% of projects,8,8,1.1304
United Kingdom,Male,37,Employed full-time,Technology,Bachelor's degree,Computer Science,40000,GBP,Software Developer/Software Engineer,Perfectly,Python,Sort of (Explain more),76-99% of projects,7,7,1.289
Pakistan,Male,24,"Independent contractor, freelancer, or self-employed",Technology,Some college/university study without earning a bachelor's degree,Computer Science,20000,USD,Computer Scientist,Perfectly,Python,Yes,26-50% of projects,7,7,1
People 's Republic of China,Male,25,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,400000,CNY,Machine Learning Engineer,Fine,Python,Yes,51-75% of projects,7,7,0.148
Ukraine,Male,33,Employed full-time,Other,Master's degree,Computer Science,35000,USD,Other,Poorly,Python,Yes,76-99% of projects,10 - Highly Satisfied,10,1
France,Male,24,Employed full-time,Technology,Master's degree,Computer Science,39000,EUR,Software Developer/Software Engineer,Poorly,Python,No,100% of projects,6,6,1.1304
South Africa,Male,37,Employed full-time,Non-profit,Master's degree,Mathematics or statistics,600000,ZAR,Statistician,Fine,R,Sort of (Explain more),76-99% of projects,8,8,0.0753
Spain,Male,27,Employed full-time,Academic,Doctoral degree,Computer Science,14000,EUR,Scientist/Researcher,Perfectly,Python,No,Less than 10% of projects,7,7,1.1304
Other,Female,29,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,17000,EUR,Predictive Modeler,Perfectly,Python,Sort of (Explain more),10-25% of projects,6,6,1.1304
Germany,Male,35,Employed full-time,Other,Master's degree,Computer Science,53000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,8,8,1.1304
Italy,Male,35,Employed full-time,Insurance,Bachelor's degree,Computer Science,35000,EUR,Software Developer/Software Engineer,Perfectly,Python,Yes,51-75% of projects,6,6,1.1304
Belgium,Male,36,Employed full-time,Mix of fields,Master's degree,Other,60000,EUR,Other,Poorly,Python,Yes,51-75% of projects,5,5,1.1304
India,Male,23,Employed full-time,Other,Master's degree,Electrical Engineering,300000,INR,Software Developer/Software Engineer,Fine,R,No,76-99% of projects,6,6,0.0154
Australia,Male,62,Employed full-time,Financial,Master's degree,Mathematics or statistics,180000,AUD,Software Developer/Software Engineer,Fine,R,Yes,76-99% of projects,8,8,0.7669
India,Female,28,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),1650000,INR,Data Analyst,Perfectly,Scala,Sort of (Explain more),26-50% of projects,6,6,0.0154
Poland,Male,36,Employed full-time,Telecommunications,Master's degree,Mathematics or statistics,130000,PLN,Predictive Modeler,Fine,R,Sort of (Explain more),10-25% of projects,10 - Highly Satisfied,10,0.2656
Australia,Male,25,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,80000,USD,Statistician,Fine,Python,No,76-99% of projects,3,3,1
France,Male,23,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Computer Science,18000,EUR,Machine Learning Engineer,Poorly,Python,Yes,Less than 10% of projects,9,9,1.1304
India,Male,36,Employed full-time,Internet-based,Doctoral degree,Mathematics or statistics,2600000,INR,Programmer,Fine,Python,Sort of (Explain more),10-25% of projects,10 - Highly Satisfied,10,0.0154
Kenya,Male,31,Employed full-time,Financial,Master's degree,"Information technology, networking, or system administration",50000,USD,DBA/Database Engineer,Fine,SQL,Yes,10-25% of projects,5,5,1
Iran,Male,30,Employed part-time,Academic,Doctoral degree,Computer Science,18000,GBP,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,6,6,1.289
India,Male,23,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,2000000,INR,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),51-75% of projects,4,4,0.0154
Belgium,Male,27,Employed full-time,Academic,Master's degree,Computer Science,27000,EUR,Researcher,Fine,R,Sort of (Explain more),51-75% of projects,6,6,1.1304
Russia,Male,26,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,477600,RUB,Machine Learning Engineer,Poorly,R,Yes,76-99% of projects,8,8,0.0172
India,Male,41,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Computer Science,25200,USD,Business Analyst,Perfectly,R,Yes,51-75% of projects,10 - Highly Satisfied,10,1
Germany,Female,25,Employed full-time,Financial,Master's degree,Other,44000,EUR,Business Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,4,4,1.1304
France,Female,35,Employed full-time,Mix of fields,Doctoral degree,Physics,40000,EUR,Machine Learning Engineer,Perfectly,Python,Yes,100% of projects,9,9,1.1304
United Kingdom,Male,37,Employed full-time,Technology,Bachelor's degree,Management information systems,80000,GBP,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,9,9,1.289
India,Male,25,Employed full-time,CRM/Marketing,Bachelor's degree,Engineering (non-computer focused),880000,INR,Business Analyst,Poorly,Python,Sort of (Explain more),26-50% of projects,7,7,0.0154
India,Female,38,Employed full-time,Academic,Doctoral degree,Computer Science,1200000,INR,Researcher,Perfectly,Python,Yes,Less than 10% of projects,2,2,0.0154
India,Male,28,Employed full-time,CRM/Marketing,Bachelor's degree,Engineering (non-computer focused),1900000,INR,Predictive Modeler,Fine,Python,Yes,76-99% of projects,8,8,0.0154
Germany,Male,31,Employed full-time,Internet-based,Doctoral degree,Psychology,55500,EUR,Data Analyst,Fine,R,Yes,76-99% of projects,8,8,1.1304
Germany,Male,28,Employed full-time,Academic,Master's degree,Computer Science,36000,EUR,Researcher,Perfectly,Python,No,10-25% of projects,9,9,1.1304
France,Male,28,Employed full-time,Academic,Master's degree,Mathematics or statistics,18000,EUR,Scientist/Researcher,Fine,Python,No,100% of projects,8,8,1.1304
Germany,Male,31,Employed full-time,Pharmaceutical,Doctoral degree,Biology,85000,EUR,Other,Poorly,Python,No,51-75% of projects,3,3,1.1304
India,Male,32,Employed full-time,Technology,Bachelor's degree,Computer Science,2500000,INR,Software Developer/Software Engineer,Poorly,Python,No,10-25% of projects,6,6,0.0154
Germany,Male,26,Employed part-time,Academic,Master's degree,Engineering (non-computer focused),36000,EUR,Researcher,Perfectly,Python,No,Less than 10% of projects,9,9,1.1304
Italy,Male,47,Employed full-time,Academic,Doctoral degree,A social science,45000,EUR,Statistician,Perfectly,R,Yes,76-99% of projects,8,8,1.1304
Netherlands,Male,48,"Independent contractor, freelancer, or self-employed",Insurance,Master's degree,Computer Science,90000,EUR,Business Analyst,Perfectly,Python,Yes,26-50% of projects,8,8,1.1304
Australia,Male,33,Employed part-time,Academic,Doctoral degree,Computer Science,85000,AUD,Other,Poorly,R,Yes,76-99% of projects,4,4,0.7669
France,Male,30,Employed full-time,Mix of fields,Doctoral degree,Computer Science,36000,EUR,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,4,4,1.1304
Russia,Male,28,Employed full-time,Retail,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),2000000,RUB,Machine Learning Engineer,Poorly,Python,No,10-25% of projects,7,7,0.0172
Russia,Male,27,Employed full-time,Government,Master's degree,Computer Science,30000,USD,Data Analyst,Fine,Python,Yes,10-25% of projects,3,3,1
France,Male,37,Employed full-time,Other,Master's degree,Biology,36000,EUR,Other,Fine,Python,Sort of (Explain more),26-50% of projects,5,5,1.1304
France,Male,25,Employed full-time,Other,Master's degree,Mathematics or statistics,45000,EUR,Scientist/Researcher,Fine,Python,Yes,76-99% of projects,7,7,1.1304
Poland,Male,29,"Independent contractor, freelancer, or self-employed",Hospitality/Entertainment/Sports,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",60000,PLN,Programmer,Fine,Python,Yes,10-25% of projects,7,7,0.2656
France,Male,26,Employed full-time,Technology,Master's degree,Other,35000,EUR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,6,6,1.1304
India,Male,22,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,650000,INR,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,6,6,0.0154
Netherlands,Male,37,Employed full-time,Technology,Doctoral degree,Engineering (non-computer focused),65000,EUR,Other,Poorly,Scala,Sort of (Explain more),100% of projects,6,6,1.1304
Switzerland,Female,31,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,80000,CHF,Researcher,Perfectly,R,Yes,Less than 10% of projects,9,9,1.0163
United Kingdom,Male,31,Employed full-time,Academic,Master's degree,Biology,27000,GBP,Researcher,Fine,R,Sort of (Explain more),100% of projects,7,7,1.289
Other,Female,19,Employed full-time,Academic,Some college/university study without earning a bachelor's degree,Computer Science,30000,USD,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,7,7,1
Russia,Female,21,Employed full-time,Financial,Bachelor's degree,Other,720000,RUB,Machine Learning Engineer,Fine,Python,Yes,100% of projects,8,8,0.0172
Portugal,Male,33,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,20000,EUR,Data Analyst,Fine,Python,Yes,76-99% of projects,8,8,1.1304
India,Male,25,Employed full-time,Retail,Bachelor's degree,Electrical Engineering,450000,INR,Programmer,Fine,R,Sort of (Explain more),51-75% of projects,6,6,0.0154
Finland,Male,33,Employed full-time,Mix of fields,Some college/university study without earning a bachelor's degree,Mathematics or statistics,65000,EUR,Data Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,6,6,1.1304
Italy,Male,49,Employed full-time,Technology,Master's degree,Physics,45000,EUR,DBA/Database Engineer,Poorly,R,No,Less than 10% of projects,5,5,1.1304
France,Male,25,Employed full-time,Academic,Doctoral degree,Physics,20400,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,8,8,1.1304
United States,Male,56,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Engineering (non-computer focused),50000,USD,Scientist/Researcher,Fine,R,Yes,10-25% of projects,8,8,1
United Kingdom,Male,27,Employed full-time,Internet-based,Bachelor's degree,A humanities discipline,30000,GBP,Business Analyst,Fine,SQL,No,100% of projects,4,4,1.289
France,Male,26,Employed full-time,Mix of fields,Master's degree,Management information systems,70000,EUR,Engineer,Perfectly,Python,No,76-99% of projects,8,8,1.1304
Spain,Male,24,Employed full-time,Academic,Master's degree,Computer Science,14400,EUR,Researcher,Perfectly,R,Sort of (Explain more),100% of projects,9,9,1.1304
Germany,Male,30,Employed full-time,Academic,Master's degree,A health science,19200,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,7,7,1.1304
United Kingdom,Male,25,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,45000,GBP,Other,Poorly,Other,Sort of (Explain more),100% of projects,8,8,1.289
Portugal,Female,33,Employed full-time,Retail,Doctoral degree,Mathematics or statistics,38500,EUR,Business Analyst,Fine,R,Yes,26-50% of projects,1 - Highly Dissatisfied,1,1.1304
India,Male,22,Employed part-time,CRM/Marketing,Bachelor's degree,Computer Science,900000,INR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,7,7,0.0154
Russia,Male,28,Employed full-time,Mix of fields,Master's degree,Management information systems,840000,RUB,Machine Learning Engineer,Fine,Python,Yes,100% of projects,4,4,0.0172
Taiwan,Male,21,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Computer Science,30000,TWD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,2,2,0.0329
Italy,Female,36,Employed full-time,Technology,Doctoral degree,Computer Science,30000,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,6,6,1.1304
Czech Republic,Male,50,Employed full-time,Technology,Bachelor's degree,Physics,140000,USD,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,6,6,1
France,Male,35,Employed full-time,Academic,Doctoral degree,Physics,41500,EUR,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),10-25% of projects,8,8,1.1304
Poland,Male,34,Employed full-time,CRM/Marketing,Master's degree,Other,50000,EUR,Data Miner,Fine,R,Yes,10-25% of projects,7,7,1.1304
United States,Male,30,Employed full-time,Insurance,Master's degree,"Information technology, networking, or system administration",90000,USD,Business Analyst,Fine,R,No,51-75% of projects,5,5,1
Australia,Female,28,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,24000,AUD,Researcher,Fine,C/C++/C#,No,10-25% of projects,10 - Highly Satisfied,10,0.7669
India,Male,26,Employed full-time,Internet-based,Master's degree,Electrical Engineering,2500000,INR,Business Analyst,Fine,R,No,76-99% of projects,7,7,0.0154
India,Male,44,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),3760000,INR,Machine Learning Engineer,Fine,R,Yes,Less than 10% of projects,5,5,0.0154
